u_q,coolant,stator_winding,u_d,stator_tooth,motor_speed,i_d,i_q,pm,stator_yoke,ambient,torque,profile_id
-0.450681508,18.805171966552734,19.08666992,-0.350054592,18.29321861,0.002865568,0.004419137,0.000328102,24.554214477539062,18.316547393798828,19.850690841674805,0.18710079789161682,17
-0.325737,18.818571090698242,19.092390060424805,-0.305803001,18.29480743408203,0.000256782,0.000605872,-0.000785353,24.53807830810547,18.31495475769043,19.850671768188477,0.2454174906015396,20
-0.440864027,18.82876968383789,19.089380264282227,-0.372502625,18.29409408569336,0.002354971,0.001289587,0.000386468,24.544692993164062,18.32630729675293,19.850656509399414,0.17661534249782562,15
-0.327025682,18.835567474365234,19.083030700683594,-0.316198707,18.29254150390625,0.006104666,2.558432606747374e-05,0.002045661,24.554018020629883,18.330833435058594,19.85064697265625,0.23830270767211914,14
-0.47115013,18.857032775878906,19.08252525,-0.332272142,18.291427612304688,0.003132823,-0.064316779,0.037183776,24.565397262573242,18.326662063598633,19.85063934326172,0.20819665491580963,22
-0.538972616,18.901548385620117,19.07710838317871,0.009147473,18.29062843322754,0.009636124,-0.613635242,0.33674734830856323,24.57360076904297,18.323862075805664,19.85063362121582,0.4762178361415863,30
-0.653148472,18.94171142578125,19.074583053588867,0.2388896942138672,18.292524337768555,0.001337012,-1.005647302,0.5542112588882446,24.57657814025879,18.321935653686523,19.850629806518555,0.6700153350830078,18
-0.758391559,18.960861206054688,19.08249855041504,0.3950992524623871,18.29404067993164,0.001421958,-1.288383722,0.7063699960708618,24.574949264526367,18.314655303955078,19.850627899169922,0.7520354986190796,44
-0.727128446,18.97354507446289,19.085533142089844,0.5466225147247314,18.291963577270508,0.000576553,-1.490530491,0.8173394799232483,24.567079544067383,18.30692481994629,19.85062599182129,0.9105414152145386,23
-0.874307454,18.987812042236328,19.076025009155273,0.5789439678192139,18.287233352661133,-0.00124788,-1.634463549,0.8980128765106201,24.553241729736328,18.301733016967773,19.850624084472656,0.9240097999572754,17
-0.766983986,18.998701095581055,19.078054428100586,0.6892814040184021,18.286502838134766,0.001852675,-1.739207864,0.9520295262336731,24.534229278564453,18.305416107177734,19.850622177124023,1.0335381031036377,20
-0.891274869,19.004302978515625,19.083162307739258,0.6804993152618408,18.28929901123047,-0.004142461,-1.812125683,0.9954599738121033,24.5189209,18.303592681884766,19.87695885,1.0317845344543457,15
-0.84374392,18.990060806274414,19.089574813842773,0.7328829169273376,18.287063598632812,0.003363267,-1.866989851,1.022930622,24.508377075195312,18.31222152709961,19.902965545654297,1.0808544158935547,14
-0.808621645,18.965435028076172,19.101913452148438,0.8105266094207764,18.284530639648438,-0.003565325,-1.903730512,1.045553207397461,24.501676559448242,18.313796997070312,19.85196304321289,1.1154041290283203,22
